neighborhood,neighborhood-2,st_distance
34,34,0.0
34,35,0.0
34,36,0.00038825800000000016
34,37,0.0
34,38,0.009224164
34,3,0.12405040699999999
34,39,0.021739215
34,40,0.022515017999999998
34,41,0.038127439
34,0,0.154589667
34,10,0.17330662300000002
34,11,0.169908527
34,12,0.147893399
34,13,0.132625876
34,14,0.145909856
34,15,0.12090983
34,16,0.173262539
34,17,0.174937873
34,18,0.130672962
34,1,0.14992760300000002
34,19,0.114764
34,20,0.10421099
34,21,0.077711766
34,22,0.07492821599999999
34,23,0.044537793
34,24,0.111683382
34,25,0.09312650800000001
34,26,0.06567239999999999
34,27,0.013238277
34,28,0.059114639000000004
34,2,0.10981623900000001
34,29,0.057599906
34,30,0.012319845
34,32,0.0
34,33,0.0
34,9,0.200478309
34,7,0.041397237999999996
34,31,0.021791506000000002
34,42,0.054618837
34,43,0.07272336
34,44,0.06911215799999999
34,45,0.07724942
34,46,0.08803429900000001
34,58,0.027140001
34,5,0.086977415
34,47,0.08880523
34,48,0.084355231
34,4,0.097042991
34,49,0.102279215
34,50,0.10375380599999999
34,51,0.119781922
34,52,0.138420781
34,53,0.138110712
34,54,0.155588414
34,55,0.10944685900000001
34,56,0.08494072800000001
34,57,0.05525663
34,59,0.004994983
34,60,0.007148553
34,61,0.08663993
34,62,0.053838215999999994
34,63,0.11507476900000001
34,64,0.091959884
34,65,0.062395828
34,66,0.03926755
34,67,0.029085036
34,68,0.040514275
34,6,0.065649691
34,69,0.08259435400000001
34,70,0.067292475
34,71,0.09846032800000001
34,72,0.092827946
34,73,0.134669467
34,74,0.124788229
34,75,0.22456904600000002
34,76,0.132622575
34,8,0.23179968399999998
35,34,0.0
35,35,0.0
35,36,0.016732549
35,37,0.0
35,38,0.0
35,3,0.144916125
35,39,0.014565637
35,40,0.014447021
35,41,0.030770811000000002
35,0,0.17266002800000002
35,10,0.19716387600000002
35,11,0.19369850100000002
35,12,0.170271163
35,13,0.154911517
35,14,0.169959147
35,15,0.14375297199999998
35,16,0.197287297
35,17,0.198531426
35,18,0.154674525
35,1,0.171202117
35,19,0.13884480400000002
35,20,0.127149619
35,21,0.09967879800000001
35,22,0.098999062
35,23,0.06462970400000001
35,24,0.13373379999999999
35,25,0.115770515
35,26,0.08911830300000001
35,27,0.036133341
35,28,0.08151909
35,2,0.127297559
35,29,0.07556695
35,30,0.035793967
35,32,0.013490945
35,33,0.016345268
35,9,0.224553129
35,7,0.057320037000000004
35,31,0.037259318
35,42,0.043652117000000004
35,43,0.065452707
35,44,0.059961885
35,45,0.065749245
35,46,0.080041649
35,58,0.043491878
35,5,0.10330075
35,47,0.080041609
35,48,0.082001381
35,4,0.119028544
35,49,0.094629039
35,50,0.093794793
35,51,0.102637576
35,52,0.131497952
35,53,0.13065082
35,54,0.139529955
35,55,0.126016144
35,56,0.10164674900000001
35,57,0.07161713
35,59,0.021341455
35,60,0.023493847999999998
35,61,0.10273102099999999
35,62,0.069442954
35,63,0.13067875199999998
35,64,0.1071586
35,65,0.076258828
35,66,0.051655346
35,67,0.031157456
35,68,0.037645276
35,6,0.08156210400000001
35,69,0.093094895
35,70,0.069154242
35,71,0.10484288800000001
35,72,0.092019208
35,73,0.141713048
35,74,0.12254906900000001
35,75,0.24814132600000002
35,76,0.150608064
35,8,0.255835841
36,34,0.00038825800000000016
36,35,0.016732549
36,36,0.0
36,37,0.0
36,38,0.022363725
36,3,0.143040679
36,39,0.0
36,40,0.022323776
36,41,0.015586878
36,0,0.175551321
36,10,0.185532549
36,11,0.182535471
36,12,0.164629421
36,13,0.149649985
36,14,0.156618666
36,15,0.13699094
36,16,0.181164187
36,17,0.17978270100000002
36,18,0.138661323
36,1,0.16825731
36,19,0.124677337
36,20,0.120300086
36,21,0.095746342
36,22,0.085143245
36,23,0.065512187
36,24,0.111976744
36,25,0.095363831
36,26,0.071571959
36,27,0.034120563
36,28,0.061671597
36,2,0.131298319
36,29,0.052493652
36,30,0.02708127
36,32,0.021880957000000003
36,33,0.0
36,9,0.210199527
36,7,0.062665613
36,31,0.043697322999999996
36,42,0.042235133
36,43,0.043693275
36,44,0.049974377
36,45,0.06080954
36,46,0.06437567599999999
36,58,0.019996293000000002
36,5,0.108853529
36,47,0.066675081
36,48,0.055020251
36,4,0.11495809
36,49,0.076859845
