"neighborhood","neighborhood-2","st_distance"
"adams-normandie","adams-normandie","0"
"adams-normandie","florence","0.0380911512686171"
"adams-normandie","jefferson-park","0"
"adams-normandie","westwood","0.108830028872782"
"adams-normandie","chesterfield-square","0.0325665759947716"
"adams-normandie","hollywood","0.0461987724072511"
"adams-normandie","elysian-park","0.0567390236255131"
"adams-normandie","manchester-square","0.0511184840936979"
"adams-normandie","del-rey","0.0941650735302705"
"adams-normandie","exposition-park","0"
"adams-normandie","fairfax","0.0471628816441366"
"adams-normandie","gramercy-park","0.0657169945254759"
"adams-normandie","bel-air","0.133487579324699"
"adams-normandie","hyde-park","0.0234084600301255"
"adams-normandie","mid-city","0.0206048483733768"
"adams-normandie","university-park","0"
"adams-normandie","mission-hills","0.256104438319395"
"adams-normandie","palms","0.078753909531514"
"adams-normandie","panorama-city","0.20696986809014"
"adams-normandie","reseda","0.257003975318336"
"adams-normandie","chatsworth-reservoir","0.355902479103453"
"adams-normandie","chinatown","0.0509226609868847"
"adams-normandie","sun-valley","0.172174595010091"
"adams-normandie","arleta","0.216600033499972"
"adams-normandie","arlington-heights","0.00440113621682555"
"adams-normandie","boyle-heights","0.0622183638807593"
"adams-normandie","baldwin-hillscrenshaw","0.0262616107844632"
"adams-normandie","beverly-crest","0.107905376552391"
"adams-normandie","beverly-grove","0.0584103484407882"
"adams-normandie","beverlywood","0.0772486608944144"
"adams-normandie","brentwood","0.147925655763263"
"adams-normandie","broadway-manchester","0.0664490692553532"
"adams-normandie","canoga-park","0.31741638831257"
"adams-normandie","carthay","0.0584103484407882"
"adams-normandie","century-city","0.098132681309526"
"adams-normandie","el-sereno","0.0982758831554358"
"adams-normandie","harbor-city","0.208734516263685"
"adams-normandie","downtown","0.0173879297677116"
"adams-normandie","cypress-park","0.0782136050054861"
"adams-normandie","east-hollywood","0.0389989999995635"
"adams-normandie","echo-park","0.0406696914419854"
"adams-normandie","eagle-rock","0.107673869702989"
"adams-normandie","griffith-park","0.0755980635324849"
"adams-normandie","hollywood-hills","0.0678979957507592"
"adams-normandie","encino","0.18913969301489"
"adams-normandie","harbor-gateway","0.101925307027831"
"adams-normandie","elysian-valley","0.075067343763693"
"adams-normandie","glassell-park","0.0786343958450955"
"adams-normandie","hancock-park","0.0298455122586114"
"adams-normandie","hansen-dam","0.231493799849654"
"adams-normandie","sepulveda-basin","0.204538457448898"
"adams-normandie","granada-hills","0.273642134476489"
"adams-normandie","historic-south-central","0.0135705035081253"
"adams-normandie","green-meadows","0.0690629105084545"
"adams-normandie","van-nuys","0.187894459927718"
"adams-normandie","highland-park","0.0929421110581288"
"adams-normandie","lake-view-terrace","0.235301797984372"
"adams-normandie","hollywood-hills-west","0.0754771608693216"
"adams-normandie","koreatown","0.0154289079654496"
"adams-normandie","shadow-hills","0.171896115568009"
"adams-normandie","silver-lake","0.0415891847039397"
"adams-normandie","leimert-park","0.0109201648338246"
"adams-normandie","mount-washington","0.0867484767007211"
"adams-normandie","los-feliz","0.0595461619999013"
"adams-normandie","valley-glen","0.156560888029454"
"adams-normandie","lake-balboa","0.234716322575694"
"adams-normandie","atwater-village","0.0792571561996791"
"adams-normandie","pico-robertson","0.0677710071121756"
"adams-normandie","vermont-square","0.014693764423032"
"adams-normandie","lincoln-heights","0.0667588960737752"
"adams-normandie","studio-city","0.103604294432196"
"adams-normandie","sunland","0.210802430422319"
"adams-normandie","pico-union","0"
"adams-normandie","venice","0.138852086831778"
"adams-normandie","vermont-slauson","0.0323989999994936"
"adams-normandie","sylmar","0.272635112462455"
"adams-normandie","tarzana","0.236598970177051"
"adams-normandie","toluca-lake","0.111173277296058"
"adams-normandie","playa-vista","0.0956869289136441"
"adams-normandie","sawtelle","0.12129000000003"
"adams-normandie","tujunga","0.195276367464707"
"adams-normandie","valley-village","0.136120193746813"
"adams-normandie","mid-wilshire","0.0206321448471744"
"adams-normandie","sherman-oaks","0.134003384437839"
"adams-normandie","north-hollywood","0.129615630788384"
"adams-normandie","mar-vista","0.109965911376948"
"adams-normandie","vermont-vista","0.0655980000068633"
"adams-normandie","south-park","0.0241103090396904"
"adams-normandie","watts","0.083723244256018"
"adams-normandie","montecito-heights","0.0901008235696472"
"adams-normandie","north-hills","0.237554535480034"
"adams-normandie","pacific-palisades","0.184210655079987"
"adams-normandie","pacoima","0.220337027610111"
"adams-normandie","playa-del-rey","0.130958753826798"
"adams-normandie","woodland-hills","0.271988994310045"
"adams-normandie","westchester","0.0651126191698056"
"adams-normandie","porter-ranch","0.311243244207498"
"adams-normandie","central-alameda","0.0365335216205182"
"adams-normandie","harvard-heights","0"
"adams-normandie","northridge","0.263791283713373"
"adams-normandie","wilmington","0.20641167155962"
"adams-normandie","vermont-knolls","0.0509522069438873"
"adams-normandie","west-adams","0.024800999999897"
"adams-normandie","westlake","0.0158665875661011"
"adams-normandie","rancho-park","0.102203000000003"
"adams-normandie","west-hills","0.339996483205943"
"adams-normandie","west-los-angeles","0.108460504378209"
"adams-normandie","windsor-square","0.0250901813462116"
"adams-normandie","winnetka","0.293929717361875"
"adams-normandie","cheviot-hills","0.0891029999998949"
"adams-normandie","harvard-park","0.0325213959447958"
